"Disaster.Number","State","Declaration.Date","Disaster.Close.Out.Date","Title","Disaster.Type","Incident.Type","Incident.Begin.Date","Incident.End.Date","DeclYear"
4241,"SC","10/5/2015","","SEVERE STORMS AND FLOODING","DR","Flood","10/1/2015","",2015
3373,"SC","10/3/2015","","SEVERE STORMS AND FLOODING","EM","Severe Storm(s)","10/1/2015","",2015
4240,"CA","9/22/2015","","VALLEY FIRE AND BUTTE FIRE","DR","Fire","9/9/2015","",2015
3372,"WA","8/21/2015","","WILDFIRES","EM","Fire","8/13/2015","",2015
4239,"KY","8/12/2015","","SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, FLOODING, LANDSLIDES, AND MUDSLIDE","DR","Severe Storm(s)","7/11/2015","7/20/2015",2015
4238,"MO","8/7/2015","","SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING","DR","Severe Storm(s)","5/15/2015","7/27/2015",2015
4237,"SD","8/7/2015","","SEVERE STORMS, STRAIGHT-LINE WINDS, AND FLOODING","DR","Severe Storm(s)","5/8/2015","5/29/2015",2015
4236,"WV","8/7/2015","","SEVERE STORMS, STRAIGHT-LINE WINDS, FLOODING, LANDSLIDES, AND MUDSLIDES","DR","Severe Storm(s)","7/10/2015","7/14/2015",2015
4235,"MP","8/5/2015","","TYPHOON SOUDELOR","DR","Typhoon","8/1/2015","8/3/2015",2015
4234,"IA","7/31/2015","","SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING","DR","Severe Storm(s)","6/20/2015","6/25/2015",2015
4233,"SD","7/30/2015","","SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING","DR","Severe Storm(s)","6/17/2015","6/24/2015",2015
4232,"VT","7/29/2015","","SEVERE STORM AND FLOODING","DR","Severe Storm(s)","6/9/2015","6/9/2015",2015
4231,"NJ","7/22/2015","","SEVERE STORM","DR","Severe Storm(s)","6/23/2015","6/23/2015",2015
4230,"KS","7/20/2015","","SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING","DR","Severe Storm(s)","5/4/2015","6/21/2015",2015
4229,"CO","7/16/2015","","SEVERE STORMS, TORNADOES, FLOODING, LANDSLIDES, AND MUDSLIDES","DR","Flood","5/4/2015","6/16/2015",2015
4228,"LA","7/13/2015","","SEVERE STORMS AND FLOODING","DR","Flood","5/18/2015","6/20/2015",2015
4227,"WY","7/7/2015","","SEVERE STORMS AND FLOODING","DR","Flood","5/24/2015","6/6/2015",2015
4226,"AR","6/26/2015","","SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING","DR","Severe Storm(s)","5/7/2015","6/15/2015",2015
4225,"NE","6/25/2015","","SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING","DR","Severe Storm(s)","5/6/2015","6/17/2015",2015
4224,"GU","6/5/2015","","TYPHOON DOLPHIN","DR","Typhoon","5/13/2015","5/16/2015",2015
4223,"TX","5/29/2015","","SEVERE STORMS, STRAIGHT-LINE WINDS, TORNADOES, AND FLOODING","DR","Severe Storm(s)","5/4/2015","6/22/2015",2015
4222,"OK","5/26/2015","","SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING","DR","Severe Storm(s)","5/5/2015","6/22/2015",2015
4221,"WV","5/21/2015","","SEVERE STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES","DR","Flood","4/13/2015","4/15/2015",2015
4220,"WV","5/18/2015","","SEVERE STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES","DR","Flood","4/8/2015","4/11/2015",2015
4219,"WV","5/14/2015","","SEVERE STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES","DR","Severe Storm(s)","4/3/2015","4/5/2015",2015
4218,"KY","5/12/2015","","SEVERE WINTER STORM, SNOWSTORM, FLOODING, LANDSLIDES, AND MUDSLIDES","DR","Flood","3/3/2015","3/9/2015",2015
4217,"KY","5/1/2015","","SEVERE STORMS, TORNADOES, FLOODING, LANDSLIDES, AND MUDSLIDES","DR","Flood","4/2/2015","4/17/2015",2015
4216,"KY","4/30/2015","","SEVERE WINTER STORMS, SNOWSTORMS, FLOODING, LANDSLIDES, AND MUDSLIDES ","DR","Snow","2/15/2015","2/22/2015",2015
4215,"GA","4/20/2015","","SEVERE WINTER STORM ","DR","Severe Ice Storm","2/15/2015","2/17/2015",2015
4214,"MA","4/13/2015","","SEVERE WINTER STORM, SNOWSTORM, AND FLOODING","DR","Severe Storm(s)","1/26/2015","1/28/2015",2015
4213,"CT","4/8/2015","","SEVERE WINTER STORM AND SNOWSTORM","DR","Severe Storm(s)","1/26/2015","1/28/2015",2015
4212,"RI","4/3/2015","","SEVERE WINTER STORM AND SNOWSTORM","DR","Severe Storm(s)","1/26/2015","1/28/2015",2015
4211,"TN","4/2/2015","","SEVERE WINTER STORM AND FLOODING","DR","Severe Ice Storm","2/15/2015","2/22/2015",2015
4210,"WV","3/31/2015","","SEVERE WINTER STORM, FLOODING, LANDSLIDES, AND MUDSLIDES","DR","Severe Storm(s)","3/3/2015","3/14/2015",2015
4209,"NH","3/25/2015","","SEVERE WINTER STORM AND SNOWSTORM","DR","Severe Storm(s)","1/26/2015","1/28/2015",2015
4208,"ME","3/12/2015","","SEVERE WINTER STORM, SNOWSTORM, AND FLOODING","DR","Snow","1/26/2015","1/28/2015",2015
4207,"VT","2/3/2015","","SEVERE WINTER STORM","DR","Severe Storm(s)","12/9/2014","12/12/2014",2015
4206,"CA","1/27/2015","","SEVERE STORMS, FLOODING, AND MUDSLIDES","DR","Flood","12/4/2014","12/6/2014",2015
4205,"MS","1/7/2015","","SEVERE STORMS AND TORNADOES","DR","Tornado","12/23/2014","12/23/2014",2015
4204,"NY","12/22/2014","","SEVERE WINTER STORM, SNOWSTORM, AND FLOODING","DR","Snow","11/17/2014","11/26/2014",2014
4203,"AZ","11/5/2014","","SEVERE STORMS AND FLOODING","DR","Flood","9/7/2014","9/9/2014",2014
4202,"NV","11/5/2014","","SEVERE STORMS AND FLOODING","DR","Flood","9/7/2014","9/9/2014",2014
4201,"HI","11/3/2014","","PU'U O'O VOLCANIC ERUPTION AND LAVA FLOW","DR","Volcano","9/4/2014","3/25/2015",2014
4200,"MO","10/31/2014","","SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING","DR","Severe Storm(s)","9/9/2014","9/10/2014",2014
4199,"NM","10/29/2014","","SEVERE STORMS AND FLOODING","DR","Severe Storm(s)","9/15/2014","9/26/2014",2014
4198,"MT","10/9/2014","","SEVERE STORMS, STRAIGHT-LINE WINDS, AND FLOODING","DR","Severe Storm(s)","8/21/2014","8/25/2014",2014
4197,"NM","10/6/2014","","SEVERE STORMS AND FLOODING","DR","Severe Storm(s)","7/27/2014","8/5/2014",2014
4196,"KY","9/30/2014","","SEVERE STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES","DR","Severe Storm(s)","8/18/2014","8/23/2014",2014
4195,"MI","9/25/2014","","SEVERE STORMS AND FLOODING","DR","Flood","8/11/2014","8/13/2014",2014
4194,"HI","9/12/2014","","TROPICAL STORM ISELLE","DR","Severe Storm(s)","8/7/2014","8/9/2014",2014
4193,"CA","9/11/2014","","EARTHQUAKE","DR","Earthquake","8/24/2014","9/7/2014",2014
4191,"GU","9/10/2014","","TROPICAL STORM HALONG","DR","Severe Storm(s)","7/28/2014","7/31/2014",2014
4192,"AS","9/10/2014","","SEVERE STORMS, FLOODING, AND LANDSLIDES","DR","Severe Storm(s)","7/29/2014","8/3/2014",2014
4190,"ND","8/19/2014","","SEVERE STORMS AND FLOODING","DR","Flood","6/25/2014","7/1/2014",2014
4189,"TN","8/13/2014","","SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING","DR","Severe Storm(s)","6/5/2014","6/10/2014",2014
4188,"WA","8/11/2014","","WILDFIRES","DR","Fire","7/9/2014","8/5/2014",2014
4187,"IA","8/5/2014","","SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING","DR","Severe Storm(s)","6/26/2014","7/7/2014",2014
4186,"SD","7/28/2014","","SEVERE STORMS, TORNADOES, AND FLOODING","DR","Flood","6/13/2014","6/20/2014",2014
4185,"NE","7/28/2014","","SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING","DR","Severe Storm(s)","6/1/2014","6/4/2014",2014
4183,"NE","7/24/2014","","SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING","DR","Severe Storm(s)","6/14/2014","6/21/2014",2014
4184,"IA","7/24/2014","","SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING","DR","Flood","6/14/2014","6/23/2014",2014
3371,"WA","7/23/2014","","WILDFIRES","EM","Fire","7/9/2014","8/5/2014",2014
4182,"MN","7/21/2014","","SEVERE STORMS, STRAIGHT-LINE WINDS, FLOODING, LANDSLIDES, AND MUDSLIDES","DR","Flood","6/11/2014","7/11/2014",2014
4181,"IA","7/14/2014","","SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING","DR","Severe Storm(s)","6/3/2014","6/4/2014",2014
